,Location,Toiletries,Mobile recharge,Wi-Fi,Electricity,Entertainment subscriptions, Water bill,Laundry Service,Rent of PG/Apartment,Modes of commuting for college,Canteen Expenses,Leisure Expenses
0,Gururgram,450,350,800,1500,4,1000,0,0,2,1250,2000
1,Gururgram,750,350,500,500,1,1000,0,0,1,0,500
2,Gururgram,750,150,800,1500,3,1000,1,0,1,200,1500
3,Delhi,200,350,500,2000,4,500,0,9000.5,1,0,5000
4,Gururgram,450,350,800,1000,1,500,0,0,1,1250,500
5,Gururgram,200,150,1500,500,2,1000,0,0,1,750,1000
6,Gururgram,450,350,1500,1500,4,500,0,0,1,400,500
7,Delhi,450,350,500,500,4,500,1,0,1,750,1500
8,Gururgram,200,75,500,1000,1,500,0,0,1,200,7500
9,Delhi,900,350,1500,1500,5,500,1,9000.5,2,1500,9000
10,Gururgram,200,150,500,1500,1,500,0,7000,2,1250,1500
11,Gururgram,200,350,800,2000,4,500,0,11000.5,1,200,2000
12,Gururgram,200,350,800,1000,2,500,0,7000,1,200,2000
13,Gururgram,450,150,800,1000,2,500,0,0,2,0,0
14,Gururgram,450,350,1500,1000,6,500,0,0,1,200,0
15,Gururgram,450,350,500,1000,4,500,0,7000,1,400,0
16,Gururgram,200,150,800,1000,1,500,0,0,1,0,300
17,Delhi,200,350,800,500,1,500,1,0,1,200,1000
18,Gururgram,750,350,500,2000,3,2000,0,0,1,200,2000
19,Gururgram,450,350,800,1000,1,2000,0,0,1,200,10000
20,Delhi,450,350,500,2000,7,500,0,0,4,1250,3000
