Location,Monthly Toiletries expenses in INR,Mobile recharge per month (for you single handedly),Charges of Wi-Fi at home per month,Average cost of Electricity per month for a single person,Entertainment subscriptions,Average bill for Water per month per person,Laundry Service,Rent of PG/Apartment per month (SKIP if necessary),Modes of commuting for college,Canteen Expenses,Leisure Expenses like Shopping per month
Gururgram,300 - 600,200 - 500,800,1500,Netflix;Amazon Prime;Disney/Hotstar;Cable TV,1000,No,,Scooty / Motor Bike;Carpool,1000 - 1500,2000
Gururgram,600 - 900,200 - 500,500,500,Cable TV,1000,No,,Cab services,,500
Gururgram,600 - 900,100 - 200,800,1500,Netflix;Amazon Prime;Cable TV,1000,Yes,,Cab services,100 - 300,1500
Delhi,100 - 300,200 - 500,500,2000,Amazon Prime;YouTube Premium;Spotify Premium;Cable TV,500,No,8001 - 10000,Walking,,5000
Gururgram,300 - 600,200 - 500,800,1000,Cable TV,500,No,,Cab services,1000 - 1500,500
Gururgram,100 - 300,100 - 200,1500,500,Netflix;Disney/Hotstar,1000,No,,Cab services,500 - 1000,1000
Gururgram,300 - 600,200 - 500,1500,1500,Netflix;Amazon Prime;Disney/Hotstar;Cable TV,500,No,,Cab services,300 - 500,500
Delhi,300 - 600,200 - 500,500,500,Netflix;Amazon Prime;Disney/Hotstar;Cable TV,500,Yes,,Metro,500 - 1000,1500
Gururgram,100 - 300,50 - 100,500,1000,Disney/Hotstar,500,No,,Cab services,100 - 300,7500
Delhi,>900,200 - 500,1500,1500,Netflix;Amazon Prime;Disney/Hotstar;Spotify Premium;Any Gaming subscription,500,Yes,8001 - 10000,Walking;Metro,>1500,9000
Gururgram,100 - 300,100 - 200,500,1500,Amazon Prime,500,No,6000 - 8000,Walking;Cab services,1000 - 1500,1500
Gururgram,100 - 300,200 - 500,800,2000,Netflix;Amazon Prime;Disney/Hotstar;YouTube Premium,500,No,10001 - 12000,Walking,100 - 300,2000
Gururgram,100 - 300,200 - 500,800,1000,Amazon Prime;Cable TV,500,No,6000 - 8000,Carpool,100 - 300,2000
Gururgram,300 - 600,100 - 200,800,1000,Amazon Prime;Cable TV,500,No,,Walking;Carpool,,
Gururgram,300 - 600,200 - 500,1500,1000,Netflix;Amazon Prime;Disney/Hotstar;YouTube Premium;Spotify Premium;Cable TV,500,No,,Scooty / Motor Bike,100 - 300,
Gururgram,300 - 600,200 - 500,500,1000,Netflix;Amazon Prime;Disney/Hotstar;Cable TV,500,No,6000 - 8000,Scooty / Motor Bike,300 - 500,
Gururgram,100 - 300,100 - 200,800,1000,Cable TV,500,No,,Scooty / Motor Bike,,300
Delhi,100 - 300,200 - 500,800,500,Cable TV,500,Yes,,Cab services,100 - 300,1000
Gururgram,600 - 900,200 - 500,500,2000,Netflix;Amazon Prime;Disney/Hotstar,2000,No,,Cab services,100 - 300,2000
Gururgram,300 - 600,200 - 500,800,1000,Disney/Hotstar,2000,No,,Scooty / Motor Bike,100 - 300,10000
Delhi,300 - 600,200 - 500,500,2000,Netflix;Amazon Prime;Disney/Hotstar;YouTube Premium;Spotify Premium;Any Gaming subscription;Cable TV,500,No,,Scooty / Motor Bike;Carpool;Cab services;Metro,1000 - 1500,3000
