Location,Monthly Toiletries expenses in INR,Mobile recharge per month (for you single handedly),Charges of Wi-Fi at home per month,Average cost of Electricity per month for a single person,Entertainment subscriptions,Average bill for Water per month per person,Laundry Service,Rent of PG/Apartment per month (SKIP if necessary),Modes of commuting for college,Canteen Expenses,Leisure Expenses like Shopping per month
Gururgram,300 - 600,200 - 500,800,1500,4,1000,No,0,Scooty / Motor Bike;Carpool,1000 - 1500,2000
Gururgram,600 - 900,200 - 500,500,500,1,1000,No,0,Cab services,0,500
Gururgram,600 - 900,100 - 200,800,1500,3,1000,Yes,0,Cab services,100 - 300,1500
Delhi,100 - 300,200 - 500,500,2000,4,500,No,9000,Walking,0,5000
Gururgram,300 - 600,200 - 500,800,1000,1,500,No,0,Cab services,1000 - 1500,500
Gururgram,100 - 300,100 - 200,1500,500,2,1000,No,0,Cab services,500 - 1000,1000
Gururgram,300 - 600,200 - 500,1500,1500,4,500,No,0,Cab services,300 - 500,500
Delhi,300 - 600,200 - 500,500,500,4,500,Yes,0,Metro,500 - 1000,1500
Gururgram,100 - 300,50 - 100,500,1000,1,500,No,0,Cab services,100 - 300,7500
Delhi,>900,200 - 500,1500,1500,5,500,Yes,9000,Walking;Metro,>1500,9000
Gururgram,100 - 300,100 - 200,500,1500,1,500,No,7000,Walking;Cab services,1000 - 1500,1500
Gururgram,100 - 300,200 - 500,800,2000,4,500,No,11000,Walking,100 - 300,2000
Gururgram,100 - 300,200 - 500,800,1000,2,500,No,7000,Carpool,100 - 300,2000
Gururgram,300 - 600,100 - 200,800,1000,2,500,No,0,Walking;Carpool,0,0
Gururgram,300 - 600,200 - 500,1500,1000,6,500,No,0,Scooty / Motor Bike,100 - 300,0
Gururgram,300 - 600,200 - 500,500,1000,4,500,No,7000,Scooty / Motor Bike,300 - 500,0
Gururgram,100 - 300,100 - 200,800,1000,1,500,No,0,Scooty / Motor Bike,0,300
Delhi,100 - 300,200 - 500,800,500,1,500,Yes,0,Cab services,100 - 300,1000
Gururgram,600 - 900,200 - 500,500,2000,3,2000,No,0,Cab services,100 - 300,2000
Gururgram,300 - 600,200 - 500,800,1000,1,2000,No,0,Scooty / Motor Bike,100 - 300,10000
Delhi,300 - 600,200 - 500,500,2000,7,500,No,0,Scooty / Motor Bike;Carpool;Cab services;Metro,1000 - 1500,3000
